Mixture	Endothelial	CAFs	PVL	B-cells	T-cells	Myeloid	Normal Epithelial	Plasmablasts	Cancer Epithelial	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-E2-A1II	0.359407440630458	0.316600320397735	0.190683498729051	0	0.843518697853977	2.2573110017721	0.347667083018222	0.718132300447032	1.17374255982196	0	0.318047690554503	0.965621257726023	6.20706290267053
TCGA-E2-A1LG	0.268404872880536	0.140503557525896	0.0768278101547906	0	0	0.248743849940417	3.32385363318018	0.729633536026216	2.15918063574657	0	0.237104905609905	1.01524245152098	6.94714789545461
TCGA-E2-A1LH	0.598777641165254	1.51457248380023	0.674828089042163	0	0.0458352961531902	1.46979470250667	1.9119465615521	1.04191911557924	0.8900910335311	0	0.478532586085796	0.879670602771875	8.14776492332994
TCGA-E2-A1LI	0.253887746439108	0.25843240895444	0.75475649076871	0.0400401406485114	0.0734203844812575	0.256422564637281	3.88018083302998	0.268073046649547	1.72105634503173	0	0.515414690745146	0.858151577613392	7.50626996064056
TCGA-E2-A1LK	0.585759375020232	0.0309147704624131	1.12424170859234	0	0	0.71027499162481	2.74332218956006	0.181791575062889	1.73986132310032	0	0.194668626900062	1.03672943746306	7.11616593342306
TCGA-E2-A1LL	2.00897245891188	0.342027355551443	0.513724382257121	0	0	0	3.17897290243991	0.257008838961926	1.6465866444373	0	0.215008979246769	1.02720412558666	7.94729258255958
TCGA-E2-A573	0.482720601255594	0.990565259241112	0.127586686695814	0	0.100353612541367	0.724945893342679	2.06107684418258	0.990459360497035	2.02566212647699	0	0.438543341520577	0.899126915576029	7.50337038423317
TCGA-E2-A574	0.076566125910705	0.470821960461955	0.12930086304261	0	0	0.0467891368492663	3.94525409135553	0.2975019753224	2.09126538704663	0	0.63349529909038	0.774434479685101	7.0574995399891
TCGA-E9-A1N8	0.201240647108952	0.474197563527453	0.179306954962075	0	0	0.0216048509293109	5.05139574809424	0	0.918381705315738	0	0.636927263482677	0.772769557073319	6.84612746993777
TCGA-E9-A1N9	0.899296116524163	1.71171611414224	0.420883322247664	0	0	0	3.56566401882415	0.233116960593801	0.663671743276255	0	0.423708737570157	0.934349438681763	7.49434827560827
TCGA-E9-A1NC	0.510178129019925	2.14114112914552	0.827061453865677	0	0	1.10697759847379	2.86704266345941	0.976581783684816	0.687269487916936	0	0.484849807241073	0.881709869416683	9.11625224556608
TCGA-E9-A1ND	0.811958385555678	1.56845562129243	0	0	0.117698694335178	1.89978218154889	3.75351123225503	0.216778699332999	1.37479835153193	0	0.234339163255791	1.02061079387946	9.74298316585213
TCGA-E9-A22G	0.443329135930763	0.322989889371059	0.023614978772642	0	0	0.0753127638008955	3.27475746894341	0	2.27854036359705	0	0.526112303486609	0.852408026119786	6.41854460041581
TCGA-E9-A243	0.326404708247286	3.16516688723955	0	0	0.413931956641174	1.82492685203163	0.976397945416606	1.24647780546089	1.09338575302174	0	0.392354077656478	0.958754103471259	9.04669190805886
TCGA-E9-A244	0.406720116698567	1.13289301677444	0.935389328110332	0	0	0	3.60785561039776	0.265713498161609	1.68686114812403	0	0.474971687846687	0.888258728027817	8.03543271826674
TCGA-E9-A3QA	0.485923816940866	0.770840200864917	0.628144565179332	0	0.407670171802541	1.50584123957967	1.91503711517204	0.703723262200576	1.225586115525	0	0.355096547691441	0.941773620267445	7.64276648726495
